"","Z.sim","Estimator.type","Z.est"
"1422",1.0637278121512,"cross sectional",0.840520163651018
"1522",0.92883071084714,"cross sectional",0.798730104632983
"823",0.931806775833166,"survival analysis",0.937218565071518
"923",0.732622949764873,"survival analysis",0.719043713406688
"1023",0.739981496725175,"survival analysis",0.727103855252654
"1123",0.849469983422709,"survival analysis",0.847031435798531
"1223",1.05665039643355,"survival analysis",1.07396530271301
"1323",0.736894523009926,"survival analysis",0.723722556450879
"1423",1.0637278121512,"survival analysis",1.0817175090786
"1523",0.92883071084714,"survival analysis",0.933958749504724
"824",1.14180411607685,"cross sectional",1.08867099482762
"924",0.883416327232086,"cross sectional",1.05655128303455
"1024",0.925712770458875,"cross sectional",1.28540137901901
"1124",0.952103136180893,"cross sectional",0.89627157461085
"1224",0.777376404844278,"cross sectional",0.804850235133955
"1324",0.807409230974611,"cross sectional",0.891962453162044
"1424",1.07446565481189,"cross sectional",0.981335447452295
"1524",0.94574103230291,"cross sectional",0.879400246312856
"825",1.14180411607685,"survival analysis",1.16156329977281
"925",0.883416327232086,"survival analysis",0.891461122015402
"1025",0.925712770458875,"survival analysis",0.935675136454808
"1125",0.952103136180893,"survival analysis",0.963261948065376
"1225",0.777376404844278,"survival analysis",0.780613724411091
"1325",0.807409230974611,"survival analysis",0.812008132708329
"1425",1.07446565481189,"survival analysis",1.09117195072409
